LoanID,AS_OF_DATE,Property,Occupancy,Product_Type,Purpose,Mortgagetype,Lien_Position,ORATE,Original_Appraisal_Amount,Origination_Date,First_Payment_Date,Original_Amount,Original_Term,Remaining_Term,Amor_Term,PMI,CITY,STATE,ZIP,FICO,Gross_Margin,LCAP,LFLOOR,ICAP,PCAP,IO_Term,Interest_Reset_Interval,Reset_Index,First_Interest_Rate_Adjustment_Date,First_Recast/Next_Recast,Recast_Frequency,Recast_Cap,Negam_Initial_Minimum_Payment_Period,Negam_Payment_Reset_Frequency,STATUS,DEFERRED_BAL,Modification_Date,Foreclosure_Referral_Date,Current_Property_Value,Current_Value_Date,Current_Principal_Balance,Current_Interest_Rate,LAST_PMT_RECD,Current_FICO_Score,BK_FLAG,MSR,Senior Lien Bal,Senior Lien Bal Date,2nd Lien Piggyback Flag,Junior Lien Bal,Junior Lien Bal Date,SF
,,SF,P,SUBPRIME,C,CONV,1,0.077,97000,5/13/04,7/1/04,76000,240,161,240,No PMI Insurance,North Augusta,SC,29841,542,,,,,,0,,,,,,,,,CURRENT,0,,,110000,3/12/08,62499.23,0.077,12/1/10,616,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.1025,97000,6/30/99,8/10/99,82450,360,226,0,No PMI Insurance,Land O Lakes,FL,34639,509,0.0525,0.1725,0.1025,,0.01,0,6,6W1BD,7/10/02,0.01,6,0,,6,REPERF,0,,,135000,7/20/10,74065.36,0.1025,11/29/10,505,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0785,248000,11/16/05,1/1/06,160000,360,299,0,No PMI Insurance,Milton,FL,32570,515,0.055,0.1385,0.0785,,0.01,0,6,6W1BD,12/1/07,0.01,6,0,,6,CURRENT,0,,,,,152311.46,0.0785,12/6/10,633,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.0452,225000,4/28/06,6/1/06,202500,328,304,568,No PMI Insurance,El Paso,TX,79912,631,,,,,,,,,,,,,,,CURRENT,0,2/19/09,,268000,11/19/08,209751.79,0.0452,12/29/10,689,N,Y,,,N,,,5000
,,PD,P,ALT A,,CONV,1,0.08375,212000,4/28/06,6/1/06,140400,360,304,360,No PMI Insurance,Davenport,FL,33896,782,0.0225,0.13375,0.03375,,0.01,,6,6W1BD,5/1/11,0.01,6,0,,6,CURRENT,0,,,212000,3/4/06,136662.15,0.08375,12/14/10,785,N,Y,,,N,,,5000
,,CO,P,ALT A,,CONV,1,0.07375,425000,4/14/06,6/1/06,339850,360,303,360,No PMI Insurance,Palm Beach Gardens,FL,33418,738,0.0225,0.13375,0.0225,,0.02,,6,6W1BD,5/1/09,0.02,6,0,,6,CURRENT,0,,,211934,4/9/09,339850,0.0275,12/30/10,601,N,Y,,,N,,,5000
,,SF,P,ALT A,,CONV,1,0.075,275000,4/24/06,6/1/06,205000,360,304,360,No PMI Insurance,Ridge Manor,FL,33523,761,0.0225,0.135,0.0225,,0.02,,6,6W1BD,5/1/09,0.02,6,0,,6,CURRENT,0,,,275000,4/12/06,191304.62,0.0275,12/6/10,695,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.07,225000,3/31/06,5/1/06,180000,330,326,330,No PMI Insurance,Burlington,WA,98233,657,,,,,,,,,,,,,,,90 DPD,0,11/24/08,,165000,10/12/10,181812.53,0.07,4/3/09,477,Y,Y,,,N,,,5000
,,CO,S,ALT A,,CONV,1,0.08125,195000,4/21/06,6/1/06,151920,360,341,360,No PMI Insurance,Orlando,FL,32837,590,0.05,0.14125,0.08125,,0.02,,6,6W1BD,5/1/09,0.02,6,0,,6,FC,0,,1/20/10,54000,12/7/10,151920,0.08125,,554,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.07167,207000,6/16/06,8/1/06,123000,360,306,309,No PMI Insurance,Spring Hill,FL,34609,599,,,,,,,,,,,,,,,CURRENT,0,10/5/10,,130000,1/29/10,118951.71,0.05292,12/7/10,569,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,R,CONV,1,0.072,170000,8/24/06,10/1/06,127500,360,309,480,No PMI Insurance,Portsmouth,VA,23703,690,0.055,0.122,0.072,,0.01,,6,6W1BD,9/1/11,0.01,6,0,,6,30 DPD,0,,,169177,7/27/10,124719.75,0.072,12/9/10,601,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,2,0.14875,362500,8/3/05,9/1/05,72500,180,114,360,No PMI Insurance,Philadelphia,PA,19143,624,,,,,,,,,,,,,,,CURRENT,0,,,,,58260.63,0.14875,12/28/10,705,N,Y,290138.6,6/2/08,N,,,5000
,,PD,I,ALT A,,CONV,1,0.0675,335000,8/29/06,10/1/06,234500,360,305,360,No PMI Insurance,Dupont,WA,98327,700,0.0275,0.1275,0.0275,,0.01,,6,6W1BD,9/1/11,0.01,6,0,,6,CURRENT,0,,,223063,11/30/09,233515.55,0.0675,12/31/10,653,N,Y,,,N,,,5000
,,CO,P,SUBPRIME,C,CONV,1,0.07515,425000,11/23/05,1/1/06,403750,334,305,334,No PMI Insurance,Los Angeles,CA,90014,676,0.0625,0.13515,0,,0.01,60,6,6W1BD,12/1/09,0.01,6,0,,6,90 DPD,0,4/28/08,,145000,7/9/10,403621,0.0675,10/29/10,626,N,Y,,,N,,,5000
,,SF,P,ALT A,C,CONV,1,0.0624,450000,9/6/06,11/1/06,346500,335,311,575,No PMI Insurance,Lindenhurst,NY,11757,584,,,,,,,,,,,,,,,60 DPD,0,10/30/08,,370000,7/19/08,367497.48,0.0624,10/16/10,698,N,Y,,,N,,,5000
,,SF,P,ALT A,,CONV,1,0.06964,279000,3/13/07,5/1/07,145000,360,315,360,No PMI Insurance,Portland,OR,97217,732,,,,,,,,,,,,,,,CURRENT,0,,,279000,2/28/07,139018.99,0.06964,12/5/10,703,N,Y,,,N,,,5000
,,SF,P,ALT A,,CONV,1,0.07625,600000,6/2/06,8/1/06,469100,360,305,360,No PMI Insurance,Howell,MI,48843,740,,,,,,,,,,,,,,,CURRENT,0,,,,,447031.03,0.07625,12/23/10,784,N,Y,,,N,,,5000
,,PD,I,SUBPRIME,P,CONV,2,0.09,99900,4/20/04,6/1/04,25000,180,100,0,No PMI Insurance,Columbia,SC,29229,610,,,,,,0,,,,,,,,,CURRENT,0,,,,,17856.26,0.09,12/31/10,612,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.0587,325000,7/26/06,9/1/06,275000,333,307,333,No PMI Insurance,Weymouth,MA,2188,595,0.0605,0.1287,0.0587,,0.01,,6,6W1BD,2/1/14,0.01,6,0,,6,CURRENT,0,1/8/09,,235000,9/17/08,261718.6,0.0587,12/1/10,648,N,Y,,,N,,,5000
,,SF,P,ALT A,P,CONV,1,0.07375,650000,7/11/06,9/1/06,445900,364,310,480,No PMI Insurance,North Port,FL,34288,768,,,,,,,,,,,,,,,CURRENT,246300,6/23/10,,275000,2/10/10,203276.04,0.02,12/31/10,630,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,2,0.0999,233000,7/25/05,9/1/05,45000,300,235,300,No PMI Insurance,Denver,CO,80260,663,,,,,,,,,,,,,,,CURRENT,0,,,,,42108.97,0.0999,11/29/10,470,N,Y,188434.12,6/2/08,N,,,5000
,,PD,P,ALT A,,PMI,1,0.06625,215000,9/15/06,11/1/06,192185,360,309,360,Triad Guaranty Ins,Blufffton,SC,29909,720,,,,,,,,,,,,,,,CURRENT,0,,,215000,7/27/06,189798.64,0.06625,12/4/10,739,N,Y,,,N,,,5000
,,PD,P,ALT A,,CONV,1,0.0455,272000,6/7/06,8/1/06,188048,328,304,448,No PMI Insurance,Kissimmee,FL,34746,654,,,,,,,,,,,,,,,CURRENT,0,3/10/09,,150000,10/3/08,132226.22,0.0455,12/10/10,666,N,Y,,,N,,,5000
,,CO,P,SUBPRIME,P,CONV,1,0.0625,226000,10/7/04,12/1/04,180800,360,303,360,No PMI Insurance,Shoreline,WA,98155,616,0.0575,0.1225,0.0625,,0.01,,6,6W1BD,11/1/09,0.01,6,0,,6,FC,0,,3/12/10,305000,10/5/10,180753.2,0.0625,9/15/09,501,N,N,,,N,,,5000
,,2F,P,ALT A,,CONV,1,0.07875,827000,9/28/06,12/1/06,661600,361,309,465,No PMI Insurance,Ozone Park,NY,11417,530,,,,,,,,,,,,,,,CURRENT,143277.75,11/19/10,,500000,12/1/10,676196.4,0.02,12/30/10,434,N,Y,,,N,,,5000
,,CO,P,SUBPRIME,C,CONV,1,0.0599,165000,4/7/04,6/1/04,156750,360,285,0,No PMI Insurance,Black Diamond,WA,98010,696,,,,,,0,,,,,,,,,FC,0,,12/1/10,175000,11/17/10,142795.89,0.0599,8/4/10,469,N,Y,,,N,,,5000
,,CO,P,SUBPRIME,,CONV,2,0.0452,215000,7/19/06,9/1/06,43000,150,127,330,No PMI Insurance,Waldorf,MD,20602,510,,,,,,,,,,,,,,,CURRENT,0,1/20/09,,150000,8/10/10,30925.51,0.0452,12/2/10,461,N,Y,181933.77,12/31/10,Y,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.079,116000,6/20/06,8/1/06,91200,360,338,360,No PMI Insurance,Texarkana,TX,75501,591,,,,,,,,,,,,,,,REO,0,,7/27/10,118000,5/27/10,89798.5,0.079,5/18/10,486,N,Y,,,N,,,5000
,,CO,P,SUBPRIME,P,CONV,2,0.0925,260000,10/27/05,12/1/05,52000,240,178,0,No PMI Insurance,Novi,MI,48377,646,,,,,,0,,,,,,,,,CURRENT,0,,,,,46152.37,0.0925,12/1/10,501,N,Y,207900,12/31/10,Y,,,5000
,,SF,I,ALT A,,CONV,1,0.07,236000,8/16/06,10/1/06,119500,360,312,360,No PMI Insurance,El  Mirage,AZ,85335,716,,,,,,,,,,,,,,,90 DPD,0,,,50000,12/6/10,119335.6,0.07,9/13/10,575,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,R,CONV,1,0.09555,63000,9/3/04,11/1/04,50400,360,286,360,No PMI Insurance,Omaha,NE,68105,518,0.0559,0.15555,0.09555,,0.01,,6,6W1BD,10/1/06,0.01,6,0,,6,30 DPD,0,,,,,48116.75,0.09555,11/4/10,657,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.0641,233810,11/14/05,1/1/06,187048,361,300,480,No PMI Insurance,Champlin,MN,55316,614,,,,,,0,,,,,,,,,CURRENT,76300,10/8/10,,200000,6/10/10,114444.56,0.02,12/7/10,471,N,Y,,,N,45300.37,12/31/10,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0775,112000,9/21/05,11/1/05,97800,360,302,360,No PMI Insurance,Middletown,OH,45042,619,,,,,,,,,,,,,,,90 DPD,0,,,83000,11/17/10,92935,0.0775,7/7/10,543,Y,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0908,165000,6/22/06,7/1/08,95000,97,78,457,No PMI Insurance,Cresco,PA,18326,564,0,0.99999,0,,0,,240,,6/1/18,0,240,0,,240,90 DPD,0,,,120000,9/10/10,94011.73,0.0908,11/19/10,502,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.078,242000,10/13/05,12/1/05,206000,360,323,360,No PMI Insurance,Imperial,CA,92251,595,0.077,0.138,0.078,,0.01,,6,6W1BD,11/1/07,0.01,6,0,,6,FC,0,,8/13/08,110000,9/3/10,205965.49,0.11375,12/9/10,496,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0799,160000,6/19/06,8/1/06,110000,360,319,480,No PMI Insurance,Waterbury,CT,6706,601,0.0699,0.1399,0.0799,,0.01,,6,6WSLB,7/1/08,0.01,6,0,,6,FC,0,,4/6/10,80000,10/7/10,108767.34,0.0875,12/9/09,517,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.075,375000,12/23/03,2/1/04,300000,311,276,311,No PMI Insurance,Rochester,MI,48309,649,,,,,,60,,,,,,,,,CURRENT,0,2/29/08,,225000,1/22/08,287353.72,0.075,12/10/10,576,N,Y,,,N,43728.47,12/31/10,5000
,,SF,P,SUBPRIME,R,CONV,1,0.0825,210000,8/18/03,10/1/03,141000,360,290,360,No PMI Insurance,Worcester,MA,1602,,,,,,,,,,,,,,,,FC,0,,1/27/10,120000,9/17/10,131452.98,0.0825,6/15/09,,N,N,,,N,,,5000
,,SF,P,SUBPRIME,R,CONV,1,0.075,141000,11/27/02,1/1/03,101000,360,265,0,No PMI Insurance,Prairieville,LA,70769,515,,,,,,0,,,,,,,,,60 DPD,0,,,162657,7/22/09,91450.72,0.075,11/30/10,564,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.0984,102000,9/19/06,11/1/06,98000,360,309,319,No PMI Insurance,Northfield,OH,44067,661,,,,,,,,,,,,,,,CURRENT,0,4/16/10,,45000,12/3/09,88828.63,0.0493,12/10/10,601,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,R,CONV,1,0.07755,81000,11/9/04,1/1/05,64800,360,287,360,No PMI Insurance,Antioch,TN,37013,662,0.0595,0.13755,0.07755,,0.01,,6,6W1BD,12/1/06,0.01,6,0,,6,CURRENT,0,,,,,61271.02,0.07755,12/15/10,625,N,Y,,,N,,,5000
,,CO,I,SUBPRIME,P,CONV,1,0.0872,34500,10/28/99,12/1/99,34500,360,226,360,No PMI Insurance,Aurora,CO,80017,760,0.06075,0.1472,0.0872,,0.01,,6,6WSLB,11/1/01,0.01,6,0,,6,CURRENT,0,,,,,30324.83,0.0872,12/10/10,739,N,Y,,,N,,,5000
,,SF,P,PRIME,,CONV,1,0.067,390000,11/1/06,12/1/06,310000,360,311,480,No PMI Insurance,Edgewater,MD,21037,690,,,,,,,,,,,,,,,30 DPD,0,,,,,302947.23,0.067,11/29/10,652,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.065,205000,9/30/05,11/1/05,161300,360,301,0,No PMI Insurance,New Carlisle,OH,45344,632,0.05,0.135,0.065,,0.015,60,6,6W15B,10/1/07,0.015,6,0,,6,FC,0,,12/8/10,127000,12/17/10,161240.71,0.065,9/11/10,632,N,Y,,,N,38872.15,12/31/10,5000
,,SF,P,SUBPRIME,,CONV,1,0.0635,215000,10/27/06,12/1/06,139750,364,313,480,No PMI Insurance,Phoenix,AZ,85031,593,,,,,,,,,,,,,,,CURRENT,47800,4/7/10,,50000,3/10/10,91869.7,0.02,12/8/10,589,N,Y,,,N,,,5000
,,SF,P,ALT A,,CONV,1,0.0725,550000,10/27/06,12/1/06,420000,360,309,360,No PMI Insurance,Key West,FL,33040,699,,,,,,,,,,,,,,,CURRENT,0,,,550000,9/17/06,393080.45,0.0725,12/29/10,754,N,Y,,,N,93899.35,12/31/10,5000
,,SF,P,ALT A,,CONV,1,0.06,265000,12/4/06,1/1/07,251750,338,312,313,No PMI Insurance,Lagrange,IN,46761,540,,,,,,,,,,,,,,,30 DPD,0,10/28/10,,245000,9/16/10,300630.4,0.06,10/5/10,477,N,Y,,,N,,,5000
,,SF,I,SUBPRIME,R,CONV,2,0.105,90000,11/24/03,1/1/04,10000,180,95,360,No PMI Insurance,Pueblo,CO,81003,717,,,,,,0,,,,,,,,,CURRENT,0,,,,,7159.28,0.105,12/4/10,769,N,Y,80117.23,6/2/08,N,,,5000
,,SF,I,SUBPRIME,P,CONV,2,0.1,125000,8/12/03,10/1/03,12500,180,92,0,No PMI Insurance,College Station,TX,77840,697,,,,,,0,,,,,,,,,CURRENT,0,,,,,8517.11,0.1,12/8/10,709,N,Y,112780.68,6/17/05,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.10475,59500,7/14/06,9/1/06,50575,360,307,360,No PMI Insurance,Shepherd,TX,77371,477,,,,,,,,,,,,,,,CURRENT,0,,,53000,6/18/10,49216.65,0.10475,12/21/10,524,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,R,CONV,1,0.06,290000,12/30/03,2/1/04,246500,360,276,360,No PMI Insurance,Jamaica,NY,11434,489,,,,,,,,,,,,,,,CURRENT,0,,,310000,9/9/09,221291.62,0.06,12/28/10,602,Y,N,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,2,0.095,530000,5/20/05,7/1/05,106000,180,113,360,No PMI Insurance,Riverside,CA,92505,648,,,,,,0,,,,,,,,,CURRENT,0,,,155900,8/10/10,101334.74,0.095,12/16/10,700,N,Y,424170.14,10/19/05,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.079,110000,9/19/05,11/1/05,101000,360,302,360,No PMI Insurance,Fort Wayne,IN,46825,592,0.069,0.139,0.079,,0.01,0,6,6W1BD,10/1/09,0.01,6,0,,6,FC,0,11/7/07,12/7/10,110000,10/13/10,96227.96,0.079,10/8/10,468,N,Y,,,N,,,5000
,,PD,P,SUBPRIME,P,CONV,1,0.07425,121000,6/1/05,7/1/05,96430,360,292,0,No PMI Insurance,Edinburg,TX,78539,670,0.06125,0.13925,0.07425,,0.01,0,6,6W1BD,6/1/07,0.01,6,0,,6,CURRENT,0,,,121906,5/1/09,91156.46,0.07425,12/21/10,539,N,Y,,,N,17241.61,12/31/10,5000
,,4F,P,SUBPRIME,P,CONV,1,0.07575,285000,9/7/05,11/1/05,228000,360,347,360,No PMI Insurance,Worcester,MA,1610,638,0.06575,0.13575,0.07575,,0.01,0,6,6W1BD,10/1/07,0.01,6,0,,6,90 DPD,0,,,29000,3/22/10,225928.75,0.07575,11/20/06,518,N,Y,,,N,,,5000
,,PD,P,SUBPRIME,P,CONV,1,0.0865,156000,11/8/05,1/1/06,124500,360,299,360,No PMI Insurance,San Antonio,TX,78245,618,0.07563,0.1465,0.0865,,0.01,0,6,6W1BD,12/1/09,0.01,6,0,,6,CURRENT,0,11/29/07,,,,119034.55,0.0865,12/10/10,573,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0688,510000,10/17/03,12/1/03,458000,363,277,443,No PMI Insurance,Marlboro,NJ,7751,637,,,,,,0,,,,,,,,,CURRENT,0,12/2/10,,490000,8/17/10,467269.96,0.02,11/16/10,599,N,N,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.095,104500,5/22/98,7/1/98,92250,360,209,0,No PMI Insurance,Normal,IL,61761,549,,,,,,0,,,,,,,,,CURRENT,0,,,,,27564.99,0.095,12/3/10,681,N,Y,,,N,,,5000
,,SF,I,ALT A,,CONV,1,0.06875,530000,7/6/06,9/1/06,392000,360,318,360,No PMI Insurance,Pico Rivera,CA,90660,602,0.0225,0.12875,0.0225,,0.02,,6,6W1BD,8/1/11,0.02,6,0,,6,FC,0,,5/29/10,315000,9/21/10,376828.22,0.06875,1/15/10,575,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.0385,125000,12/16/93,2/1/94,75000,360,157,360,No PMI Insurance,Los Angeles,CA,90031,526,0.0235,0.1095,0.0385,,0,,1,11COF,4/1/94,0,12,0.075,60,1,30 DPD,0,,,410000,10/13/06,54376.27,0.04013,12/13/10,539,N,Y,,,N,,,5000
,,CO,P,ALT A,,CONV,1,0.075,390000,1/5/07,3/1/07,265000,360,313,360,No PMI Insurance,El Sobrante,CA,94803,787,0.0275,0.125,0.0275,,0.01,,6,6W1BD,2/1/12,0.01,6,0,,6,CURRENT,0,,,186664,2/4/10,296245.78,0.075,12/3/10,763,N,Y,,,N,,,5000
,,SF,S,SUBPRIME,P,CONV,1,0.0755,118000,11/4/05,1/1/06,94400,360,300,360,No PMI Insurance,Garland,TX,75040,784,0.0655,0.1355,0.0755,,0.01,0,6,6W1BD,12/1/09,0.01,6,0,,6,30 DPD,0,3/4/08,,76235,12/11/09,88067.65,0.0755,12/16/10,719,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.075,130000,11/23/05,1/1/06,117000,332,317,332,No PMI Insurance,Hiram,GA,30141,530,,,,,,0,,,,,,,,,FC,0,7/21/08,3/3/10,70000,9/22/10,118417.84,0.075,7/5/10,541,N,Y,,,N,,,5000
,,2F,P,SUBPRIME,C,CONV,1,0.0649,320000,5/18/04,7/1/04,272000,362,282,480,No PMI Insurance,Gardiner,NY,12561,534,,,,,,0,,,,,,,,,CURRENT,56688.53,8/17/10,,310000,8/26/10,262424.6,0.02,12/31/10,725,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.0996,121000,11/13/06,1/1/07,97750,362,313,480,No PMI Insurance,Mcallen,TX,78503,,,,,,,,,,,,,,,,CURRENT,200,11/11/10,,95500,11/8/10,108324.7,0.02,11/11/10,531,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,,CONV,1,0.0577,120000,4/28/06,6/1/06,60000,329,305,329,No PMI Insurance,Auburndale,FL,33823,480,,,,,,,,,,,,,,,30 DPD,0,11/25/08,,45000,7/14/10,60472.43,0.0577,11/18/10,488,N,Y,,,N,,,5000
,,2F,P,SUBPRIME,P,CONV,1,0.0855,242000,6/30/06,8/1/06,193600,360,347,480,No PMI Insurance,Hallandale,FL,33009,580,0.0605,0.1455,0.0855,,0.01,,6,6W1BD,7/1/08,0.01,6,0,,6,REO,0,,11/5/07,76000,12/18/10,193010.34,0.0855,8/15/07,501,N,Y,,,N,,,5000
,,SF,,SUBPRIME,C,CONV,1,0.067,322000,8/18/03,10/1/03,257600,300,213,0,No PMI Insurance,Azle,TX,76020,663,,,,,,0,,,,,,,,,30 DPD,0,,,275000,9/4/03,220924.35,0.067,12/10/10,586,Y,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.0525,526000,10/18/04,12/1/04,442650,360,288,0,No PMI Insurance,Brooklyn Park,MN,55443,691,0.01875,0.1025,0,,0.01,120,6,6W1BD,11/1/09,0.01,6,0,,6,60 DPD,0,,,305000,7/20/09,442549.1,0.02375,12/30/10,626,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.0775,119000,12/3/04,2/1/05,111055,360,289,360,No PMI Insurance,Spring,TX,77388,604,0.06,0.1375,0.0775,,0.01,0,6,6WSLB,1/1/10,0.01,6,0,,6,30 DPD,0,12/6/07,,132572,10/4/10,104095.98,0.0775,12/20/10,535,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,P,CONV,1,0.089,31000,10/28/04,12/1/04,50150,360,286,0,No PMI Insurance,Winston Salem,NC,27107,590,0.0699,0.159,0.089,,0.015,0,6,6WSLB,11/1/06,0.015,6,0,,6,CURRENT,0,,,,,47823.82,0.089,12/13/10,700,N,Y,,,N,,,5000
,,SF,P,SUBPRIME,C,CONV,1,0.055,315000,9/21/04,11/1/04,245000,360,285,360,No PMI Insurance,Vista,CA,92084,681,,,,,,,,,,,,,,,CURRENT,0,,,,,221430.41,0.055,12/7/10,513,N,Y,,,N,,,5000
,,SF,I,SUBPRIME,R,CONV,1,0.09375,68500,11/8/05,1/1/06,61650,360,300,0,No PMI Insurance,Memphis,TN,38108,577,,,,,,0,,,,,,,,,30 DPD,0,,,,,59327.45,0.09375,12/30/10,535,N,Y,,,N,,,5000
,,MF,P,SUBPRIME,C,CONV,1,0.0934,475000,3/13/06,4/22/06,308750,439,381,384,No PMI Insurance,S Jamaica,NY,11434,569,,,,,,,,,,,,,,,CURRENT,0,11/22/10,,341000,11/26/10,393733.58,0.055,12/1/10,536,N,Y,,,N,,,5000
,,TH,I,SUBPRIME,P,CONV,1,0.0575,215000,6/16/05,8/1/05,172000,360,290,360,No PMI Insurance,Flagstaff,AZ,86004,666,0.0275,0.1175,0,,0.02,,6,6W1BD,7/1/10,0.02,6,0,,6,CURRENT,0,,,215000,6/23/05,169802.13,0.0325,12/10/10,551,N,Y,,,N,,,5000
